id,origen_nombre,tipo_origen,origen_lat,origen_lon,destino_nombre,tipo_destino,destino_lat,destino_lon,is_bridge,is_added,added_reason
,Centro de Distribución 1,Centro,24.774908,-107.309857,Centro de Distribución 1,Centro,24.774908,-107.309857,0.0,0,
,Centro de Distribución 1,Centro,24.774908,-107.309857,Tienda 60,Tienda,24.772726,-107.305644,0.0,0,
,Tienda 60,Tienda,24.772726,-107.305644,Tienda 86,Tienda,24.718621,-107.320557,0.0,0,
,Tienda 86,Tienda,24.718621,-107.320557,Tienda 24,Tienda,24.728185,-107.339561,0.0,0,
,Tienda 24,Tienda,24.728185,-107.339561,Tienda 70,Tienda,24.747528,-107.354357,0.0,0,
,Tienda 70,Tienda,24.747528,-107.354357,Tienda 44,Tienda,24.782077,-107.34889,0.0,0,
,Tienda 44,Tienda,24.782077,-107.34889,Tienda 3,Tienda,24.791214,-107.342965,0.0,0,
,Tienda 3,Tienda,24.791214,-107.342965,Tienda 59,Tienda,24.803758,-107.359396,0.0,0,
,Tienda 59,Tienda,24.803758,-107.359396,Tienda 48,Tienda,24.826681,-107.325708,0.0,0,
,Tienda 48,Tienda,24.826681,-107.325708,Tienda 18,Tienda,24.81958,-107.315625,0.0,0,
,Tienda 18,Tienda,24.81958,-107.315625,Centro de Distribución 1,Centro,24.774908,-107.309857,0.0,0,
,Centro de Distribución 2,Centro,24.846399,-107.380268,Centro de Distribución 2,Centro,24.846399,-107.380268,0.0,0,
,Centro de Distribución 2,Centro,24.846399,-107.380268,Tienda 72,Tienda,24.826706,-107.392845,0.0,0,
,Tienda 72,Tienda,24.826706,-107.392845,Tienda 64,Tienda,24.821913,-107.399464,0.0,0,
,Tienda 64,Tienda,24.821913,-107.399464,Tienda 10,Tienda,24.836847,-107.41197,0.0,0,
,Tienda 10,Tienda,24.836847,-107.41197,Tienda 38,Tienda,24.854193,-107.401241,0.0,0,
,Tienda 38,Tienda,24.854193,-107.401241,Tienda 37,Tienda,24.852157,-107.387745,0.0,0,
,Tienda 37,Tienda,24.852157,-107.387745,Tienda 84,Tienda,24.863444,-107.38896,0.0,0,
,Tienda 84,Tienda,24.863444,-107.38896,Tienda 31,Tienda,24.872621,-107.37534,0.0,0,
,Tienda 31,Tienda,24.872621,-107.37534,Tienda 28,Tienda,24.841371,-107.354199,0.0,0,
,Tienda 28,Tienda,24.841371,-107.354199,Tienda 34,Tienda,24.845921,-107.372489,0.0,0,
,Tienda 34,Tienda,24.845921,-107.372489,Centro de Distribución 2,Centro,24.846399,-107.380268,0.0,0,
,Centro de Distribución 3,Centro,24.731204,-107.468801,Centro de Distribución 3,Centro,24.731204,-107.468801,0.0,0,
,Centro de Distribución 3,Centro,24.731204,-107.468801,Tienda 46,Tienda,24.75795,-107.467756,0.0,0,
,Tienda 46,Tienda,24.75795,-107.467756,Tienda 74,Tienda,24.764156,-107.462696,0.0,0,
